Date,Team,Player,Acquired,Relinquished,Notes,EstimatedDaysOut
2015-11-28,Warriors,James McAdoo ,James McAdoo ,,activated from IL,4.0
2016-01-02,Warriors,James McAdoo ,,James McAdoo ,sprained toe on left foot (DTD),
2016-01-04,Warriors,James McAdoo ,,James McAdoo ,sprained toe on left foot (DTD),
2016-01-05,Warriors,James McAdoo ,,James McAdoo ,sprained toe on left foot (DTD),
2016-01-13,Warriors,James McAdoo ,,James McAdoo ,placed on IL with sprained toe on left foot,
2016-02-26,Warriors,James McAdoo ,James McAdoo ,,activated from IL,44.0
2016-03-01,Warriors,James McAdoo ,James McAdoo ,,activated from IL (P),
2016-04-07,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-04-09,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2016-04-16,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-04-18,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2016-05-09,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-05-26,Warriors,James McAdoo ,James McAdoo ,,activated from IL,17.0
2016-06-02,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-06-13,Warriors,James McAdoo ,James McAdoo ,,activated from IL,11.0
2016-10-25,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-10-30,Warriors,James McAdoo ,James McAdoo ,,activated from IL,5.0
2016-11-10,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-11-18,Warriors,James McAdoo ,James McAdoo ,,activated from IL,8.0
2016-11-19,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-11-21,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2016-11-23,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-11-25,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2016-11-28,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-12-01,Warriors,James McAdoo ,James McAdoo ,,activated from IL,3.0
2016-12-03,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-12-05,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2016-12-08,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-12-10,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2016-12-13,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-12-15,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2016-12-20,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-12-22,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2016-12-23,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2016-12-30,Warriors,James McAdoo ,James McAdoo ,,activated from IL,7.0
2017-01-04,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2017-01-10,Warriors,James McAdoo ,James McAdoo ,,activated from IL,6.0
2017-01-12,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2017-01-16,Warriors,James McAdoo ,James McAdoo ,,activated from IL,4.0
2017-01-18,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
2017-01-20,Warriors,James McAdoo ,James McAdoo ,,activated from IL,2.0
2017-10-18,76ers,James McAdoo ,,James McAdoo ,placed on IL,
2017-10-21,76ers,James McAdoo ,James McAdoo ,,activated from IL,3.0
2017-10-23,76ers,James McAdoo ,,James McAdoo ,placed on IL,
2017-10-28,76ers,James McAdoo ,James McAdoo ,,activated from IL,5.0
2017-10-30,76ers,James McAdoo ,,James McAdoo ,placed on IL,
2017-11-11,76ers,James McAdoo ,James McAdoo ,,activated from IL,12.0
2017-11-15,76ers,James McAdoo ,,James McAdoo ,placed on IL,
2017-11-29,76ers,James McAdoo ,James McAdoo ,,activated from IL,14.0
2017-12-02,76ers,James McAdoo ,,James McAdoo ,placed on IL,
2017-12-07,76ers,James McAdoo ,James McAdoo ,,activated from IL,5.0
2017-12-28,76ers,James McAdoo ,,James McAdoo ,placed on IL,
2018-01-05,76ers,James McAdoo ,James McAdoo ,,activated from IL,8.0
2016-11-24,Nuggets,Juan Hernangomez,,Juan Hernangomez,sprained right ankle (DTD),
2016-11-25,Nuggets,Juan Hernangomez,,Juan Hernangomez,sore/sprained right ankle (DTD),
2016-11-30,Nuggets,Juan Hernangomez,Juan Hernangomez,,returned to lineup,5.0
2017-01-05,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL,
2017-10-23,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL with mononucleosis,
2017-11-11,Nuggets,Juan Hernangomez,Juan Hernangomez,,activated from IL,19.0
2017-12-15,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL,
2017-12-18,Nuggets,Juan Hernangomez,Juan Hernangomez,,activated from IL,3.0
2017-12-26,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL,
2017-12-30,Nuggets,Juan Hernangomez,,Juan Hernangomez,illness (DTD),
2018-01-02,Nuggets,Juan Hernangomez,Juan Hernangomez,,returned to lineup,3.0
2018-01-13,Nuggets,Juan Hernangomez,Juan Hernangomez,,activated from IL,
2018-01-16,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL,
2018-01-17,Nuggets,Juan Hernangomez,Juan Hernangomez,,activated from IL,1.0
2018-01-19,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL,
2018-01-22,Nuggets,Juan Hernangomez,Juan Hernangomez,,activated from IL,3.0
2018-02-27,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL,
2018-03-09,Nuggets,Juan Hernangomez,Juan Hernangomez,,activated from IL,10.0
2018-03-11,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL,
2018-03-26,Nuggets,Juan Hernangomez,Juan Hernangomez,,activated from IL,15.0
2018-04-09,Nuggets,Juan Hernangomez,,Juan Hernangomez,placed on IL,
2019-01-19,Nuggets,Juan Hernangomez,,Juan Hernangomez,strained abdominal (DTD),
2019-01-23,Nuggets,Juan Hernangomez,Juan Hernangomez,,returned to lineup,4.0
2021-01-14,Timberwolves,Juan Hernangomez,,Juan Hernangomez,placed on IL with NBA health and safety protocols,
2021-02-01,Timberwolves,Juan Hernangomez,Juan Hernangomez,,activated from IL,18.0
2021-05-09,Timberwolves,Juan Hernangomez,,Juan Hernangomez,bruised left quadricep (DTD),
2021-05-11,Timberwolves,Juan Hernangomez,Juan Hernangomez,,returned to lineup,2.0
2021-12-17,Celtics,Juan Hernangomez,,Juan Hernangomez,placed on IL with NBA health and safety protocols,
2021-12-25,Celtics,Juan Hernangomez,Juan Hernangomez,,activated from IL,8.0
2022-12-05,Raptors,Juan Hernangomez,,Juan Hernangomez,sprained right ankle (DTD),
2020-12-23,Rockets,K.J. Martin,,K.J. Martin,placed on IL with NBA health and safety protocols,
2021-01-03,Rockets,K.J. Martin,K.J. Martin,,activated from IL,11.0
2021-01-05,Rockets,K.J. Martin,,K.J. Martin,placed on IL with conditioning,
2021-01-08,Rockets,K.J. Martin,K.J. Martin,,activated from IL,3.0
2021-12-27,Rockets,K.J. Martin,,K.J. Martin,placed on IL with NBA health and safety protocols,
2021-12-31,Rockets,K.J. Martin,K.J. Martin,,activated from IL,4.0
2023-12-29,76ers,K.J. Martin,,K.J. Martin,placed on IL with illness,
2023-12-30,76ers,K.J. Martin,K.J. Martin,,activated from IL,1.0
2024-02-25,76ers,K.J. Martin,,K.J. Martin,placed on IL with right ankle injury,
2024-03-03,76ers,K.J. Martin,K.J. Martin,,activated from IL,7.0
2024-04-09,76ers,K.J. Martin,,K.J. Martin,bruised left toe (out for season),
2024-12-24,76ers,K.J. Martin,,K.J. Martin,placed on IL with left foot injury,
2025-02-21,Jazz,K.J. Martin,K.J. Martin,,activated from IL,59.0
2025-03-16,Jazz,K.J. Martin,,K.J. Martin,elbow injury (DTD),
2025-03-17,Jazz,K.J. Martin,,K.J. Martin,placed on IL with elbow injury,
2025-03-23,Jazz,K.J. Martin,K.J. Martin,,activated from IL,6.0
2025-04-04,Jazz,K.J. Martin,,K.J. Martin,illness (DTD),
2016-10-24,Cavaliers,Kay Felder,,Kay Felder,concussion (DTD),
2016-10-25,Cavaliers,Kay Felder,,Kay Felder,placed on IL with concussion,
2016-10-29,Cavaliers,Kay Felder,Kay Felder,,activated from IL,4.0
2016-11-01,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2016-11-05,Cavaliers,Kay Felder,Kay Felder,,activated from IL,4.0
2016-11-18,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2016-11-25,Cavaliers,Kay Felder,Kay Felder,,activated from IL,7.0
2016-12-05,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2016-12-07,Cavaliers,Kay Felder,Kay Felder,,activated from IL,2.0
2017-03-01,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2017-03-04,Cavaliers,Kay Felder,Kay Felder,,activated from IL,3.0
2017-03-14,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2017-03-18,Cavaliers,Kay Felder,Kay Felder,,activated from IL,4.0
2017-03-22,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2017-03-27,Cavaliers,Kay Felder,Kay Felder,,activated from IL,5.0
2017-04-02,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2017-04-10,Cavaliers,Kay Felder,Kay Felder,,activated from IL,8.0
2017-04-12,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2017-04-15,Cavaliers,Kay Felder,,Kay Felder,placed on IL,
2017-12-08,Bulls,Kay Felder,,Kay Felder,placed on IL,
2017-12-11,Bulls,Kay Felder,Kay Felder,,activated from IL,3.0
2018-01-19,Pistons,Kay Felder,,Kay Felder,placed on IL,
2018-02-05,Pistons,Kay Felder,Kay Felder,,activated from IL,17.0
2018-02-12,Pistons,Kay Felder,,Kay Felder,placed on IL,
2018-04-11,Pistons,Kay Felder,Kay Felder,,activated from IL,58.0
2015-10-28,Knicks,Lou Amundson,,Lou Amundson,placed on IL with sore lower back,
2015-11-04,Knicks,Lou Amundson,Lou Amundson,,activated from IL,7.0
2015-11-08,Knicks,Lou Amundson,Lou Amundson,,returned to lineup,
2015-11-20,Knicks,Lou Amundson,,Lou Amundson,head injury (DTD),
2015-11-21,Knicks,Lou Amundson,Lou Amundson,,returned to lineup,1.0
2015-11-29,Knicks,Lou Amundson,,Lou Amundson,placed on IL,
2015-12-04,Knicks,Lou Amundson,Lou Amundson,,activated from IL,5.0
2015-12-26,Knicks,Lou Amundson,,Lou Amundson,back spasms (DTD),
2015-12-27,Knicks,Lou Amundson,,Lou Amundson,placed on IL with back spasms,
2016-01-05,Knicks,Lou Amundson,Lou Amundson,,activated from IL,9.0
2016-01-12,Knicks,Lou Amundson,Lou Amundson,,returned to lineup,
2016-02-22,Knicks,Lou Amundson,,Lou Amundson,placed on IL,
2016-02-28,Knicks,Lou Amundson,,Lou Amundson,upper respiratory illness (DTD),
2016-03-16,Knicks,Lou Amundson,Lou Amundson,,activated from IL,17.0
2016-01-28,Lakers,Lou Williams,,Lou Williams,placed on IL with illness,
2016-01-29,Lakers,Lou Williams,Lou Williams,,activated from IL,1.0
2016-03-02,Lakers,Lou Williams,,Lou Williams,placed on IL with strained left hamstring,
2016-03-13,Lakers,Lou Williams,Lou Williams,,activated from IL,11.0
2017-12-18,Clippers,Lou Williams,,Lou Williams,sprained left / right foot (DTD),
2017-12-20,Clippers,Lou Williams,Lou Williams,,returned to lineup,2.0
2018-04-09,Clippers,Lou Williams,,Lou Williams,sprained right ankle (out for season),
2018-12-11,Clippers,Lou Williams,,Lou Williams,left hamstring injury (DTD),
2018-12-13,Clippers,Lou Williams,,Lou Williams,placed on IL with left hamstring injury,
2018-12-20,Clippers,Lou Williams,Lou Williams,,activated from IL,7.0
2019-01-18,Clippers,Lou Williams,,Lou Williams,placed on IL with right hamstring injury,
2019-01-20,Clippers,Lou Williams,Lou Williams,,activated from IL,2.0
2019-01-20,Clippers,Lou Williams,,Lou Williams,right hamstring injury (DTD),
2019-01-22,Clippers,Lou Williams,Lou Williams,,returned to lineup,2.0
2019-12-13,Clippers,Lou Williams,,Lou Williams,right calf injury (DTD),
2019-12-17,Clippers,Lou Williams,Lou Williams,,returned to lineup,4.0
2020-03-10,Clippers,Lou Williams,,Lou Williams,right calf injury (DTD),
2020-07-30,Clippers,Lou Williams,,Lou Williams,placed on IL with quarantine for leaving bubble,
2020-08-04,Clippers,Lou Williams,Lou Williams,,activated from IL,5.0
2021-01-14,Clippers,Lou Williams,,Lou Williams,sore left hip (DTD),
2021-01-20,Clippers,Lou Williams,Lou Williams,,returned to lineup,6.0
2021-03-25,Hawks,Lou Williams,,Lou Williams,placed on IL with NBA health and safety protocols,
2021-03-30,Hawks,Lou Williams,Lou Williams,,activated from IL,5.0
2021-04-26,Hawks,Lou Williams,,Lou Williams,placed on IL with flu,
2021-04-27,Hawks,Lou Williams,Lou Williams,,activated from IL,1.0
2021-10-27,Hawks,Lou Williams,,Lou Williams,placed on IL with sore right ankle,
2021-10-28,Hawks,Lou Williams,Lou Williams,,activated from IL,1.0
2021-12-22,Hawks,Lou Williams,,Lou Williams,placed on IL with NBA health and safety protocols,
2021-12-30,Hawks,Lou Williams,Lou Williams,,activated from IL,8.0
2022-02-03,Hawks,Lou Williams,,Lou Williams,placed on IL with lower back spasms,
2022-02-04,Hawks,Lou Williams,Lou Williams,,activated from IL,1.0
2022-02-06,Hawks,Lou Williams,,Lou Williams,placed on IL with left hamstring injury,
2022-02-11,Hawks,Lou Williams,Lou Williams,,activated from IL,5.0
2022-02-25,Hawks,Lou Williams,,Lou Williams,placed on IL with left hip injury,
2022-03-03,Hawks,Lou Williams,Lou Williams,,activated from IL,6.0
2022-03-31,Hawks,Lou Williams,,Lou Williams,placed on IL with right ankle injury,
2022-04-02,Hawks,Lou Williams,Lou Williams,,activated from IL,2.0
2022-04-06,Hawks,Lou Williams,,Lou Williams,placed on IL with lower back injury (out for season),
2016-02-29,Clippers,Luc Mbah a Moute,,Luc Mbah a Moute,lacerated left eyelid (DTD),
2016-03-13,Clippers,Luc Mbah a Moute,Luc Mbah a Moute,,returned to lineup,13.0
2016-12-14,Clippers,Luc Mbah a Moute,,Luc Mbah a Moute,sprained right shoulder (DTD),
2016-12-18,Clippers,Luc Mbah a Moute,Luc Mbah a Moute,,returned to lineup,4.0
2017-05-24,Clippers,Luc Mbah a Moute,,Luc Mbah a Moute,player declined contract option,
2017-11-09,Rockets,Luc Mbah a Moute,,Luc Mbah a Moute,knee injury (DTD),
2017-11-11,Rockets,Luc Mbah a Moute,Luc Mbah a Moute,,returned to lineup,2.0
2017-11-16,Rockets,Luc Mbah a Moute,,Luc Mbah a Moute,placed on IL with illness,
2017-11-18,Rockets,Luc Mbah a Moute,Luc Mbah a Moute,,activated from IL,2.0
2017-12-15,Rockets,Luc Mbah a Moute,,Luc Mbah a Moute,placed on IL with dislocated right shoulder,
2018-01-15,Rockets,Luc Mbah a Moute,Luc Mbah a Moute,,activated from IL,31.0
2018-03-24,Rockets,Luc Mbah a Moute,,Luc Mbah a Moute,sore left knee (DTD),
2018-03-27,Rockets,Luc Mbah a Moute,,Luc Mbah a Moute,placed on IL with sore left knee,
2018-03-30,Rockets,Luc Mbah a Moute,Luc Mbah a Moute,,activated from IL,3.0
2018-04-03,Rockets,Luc Mbah a Moute,Luc Mbah a Moute,,activated from IL,
2018-04-10,Rockets,Luc Mbah a Moute,,Luc Mbah a Moute,dislocated right shoulder (DTD),
2018-04-11,Rockets,Luc Mbah a Moute,,Luc Mbah a Moute,placed on IL with dislocated right shoulder,
2018-04-29,Rockets,Luc Mbah a Moute,Luc Mbah a Moute,,activated from IL,18.0
2018-10-26,Clippers,Luc Mbah a Moute,,Luc Mbah a Moute,placed on IL with sore left knee,
2019-03-28,Clippers,Luc Mbah a Moute,,Luc Mbah a Moute,surgery on left knee (out for season),
2019-04-07,Clippers,Luc Mbah a Moute,Luc Mbah a Moute,,activated from IL,10.0
2020-08-19,Rockets,Luc Mbah a Moute,,Luc Mbah a Moute,left knee injury (DTD),
2015-11-14,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL with strained abductor (P) / adductor (CBC),
2015-11-16,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,2.0
2015-11-18,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL with hip injury,
2015-11-21,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,3.0
2015-11-27,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2015-11-28,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,1.0
2015-12-07,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2015-12-26,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2015-12-28,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,2.0
2016-02-04,Spurs,Manu Ginobili,,Manu Ginobili,surgery to repair testicle injury (out indefinitely),
2016-02-05,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL recovering from surgery to repair testicular injury,
2016-03-05,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,29.0
2016-03-08,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2016-03-10,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,2.0
2016-03-26,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2016-03-30,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,4.0
2016-04-08,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2016-04-10,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,2.0
2016-04-12,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2016-04-17,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,5.0
2016-10-29,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2016-10-30,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,1.0
2016-11-26,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2016-11-29,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,3.0
2016-11-30,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2016-12-02,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,2.0
2016-12-06,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2016-12-22,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2016-12-25,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,3.0
2017-01-22,Spurs,Manu Ginobili,,Manu Ginobili,sore back / back spasms (DTD),
2017-01-24,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,2.0
2017-02-15,Spurs,Manu Ginobili,,Manu Ginobili,left ankle impingement (DTD),
2017-03-04,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2017-03-06,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,2.0
2017-03-09,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL,
2017-03-11,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,2.0
2017-03-19,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2017-03-21,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,2.0
2017-04-05,Spurs,Manu Ginobili,,Manu Ginobili,bruised right quadriceps (DTD),
2017-04-07,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2017-04-08,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,1.0
2017-10-30,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2017-11-02,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,3.0
2017-11-11,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2017-11-14,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,3.0
2017-12-03,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2017-12-04,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,1.0
2017-12-09,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2017-12-12,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,3.0
2017-12-21,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2017-12-23,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,2.0
2018-01-03,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2018-01-05,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,2.0
2018-01-08,Spurs,Manu Ginobili,,Manu Ginobili,rest (DTD),
2018-01-11,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,3.0
2018-01-16,Spurs,Manu Ginobili,,Manu Ginobili,bruised right thigh (DTD),
2018-01-28,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,12.0
2018-02-25,Spurs,Manu Ginobili,,Manu Ginobili,bruised sternum (DTD),
2018-02-28,Spurs,Manu Ginobili,Manu Ginobili,,returned to lineup,3.0
2018-03-12,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2018-03-13,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,1.0
2018-04-04,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,
2018-04-07,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,3.0
2016-11-04,Lakers,Marcelo Huertas,,Marcelo Huertas,placed on IL,
2016-11-06,Lakers,Marcelo Huertas,Marcelo Huertas,,activated from IL,2.0
2016-11-13,Lakers,Marcelo Huertas,,Marcelo Huertas,placed on IL,
2016-11-15,Lakers,Marcelo Huertas,Marcelo Huertas,,activated from IL,2.0
2017-02-06,Lakers,Marcelo Huertas,,Marcelo Huertas,placed on IL,
2017-02-08,Lakers,Marcelo Huertas,Marcelo Huertas,,activated from IL,2.0
2017-02-10,Lakers,Marcelo Huertas,,Marcelo Huertas,placed on IL,
2017-02-14,Lakers,Marcelo Huertas,Marcelo Huertas,,activated from IL,4.0
2016-10-25,Knicks,Maurice N'dour,,Maurice N'dour,placed on IL,
2016-10-29,Knicks,Maurice N'dour,Maurice N'dour,,activated from IL,4.0
2016-11-06,Knicks,Maurice N'dour,,Maurice N'dour,placed on IL,
2016-11-09,Knicks,Maurice N'dour,Maurice N'dour,,activated from IL,3.0
2016-11-11,Knicks,Maurice N'dour,,Maurice N'dour,placed on IL,
2016-11-12,Knicks,Maurice N'dour,Maurice N'dour,,activated from IL,1.0
2016-12-04,Knicks,Maurice N'dour,,Maurice N'dour,placed on IL,
2016-12-07,Knicks,Maurice N'dour,Maurice N'dour,,activated from IL,3.0
2016-12-09,Knicks,Maurice N'dour,,Maurice N'dour,placed on IL,
2016-12-15,Knicks,Maurice N'dour,Maurice N'dour,,activated from IL,6.0
2016-12-20,Knicks,Maurice N'dour,,Maurice N'dour,placed on IL,
2016-12-30,Knicks,Maurice N'dour,Maurice N'dour,,activated from IL,10.0
2016-12-30,Knicks,Maurice N'dour,,Maurice N'dour,sprained right ankle (DTD),
